Название вакансии;Компания;Зарплата;Ссылка
Android разработчик (стажер);АО ИнфоТеКС;Не указана;https://tomsk.hh.ru/vacancy/122788921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python разработчик;Т-Банк. ИТ. QA;Не указана;https://tomsk.hh.ru/vacancy/108329139?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;ООО Лидерпак;Не указана;https://tomsk.hh.ru/vacancy/120762212?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик (Middle);VL.RU;от 290 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/121706743?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений под iOS и Android;ООО Первая Свободная Платформа Легальной Музыки;Не указана;https://tomsk.hh.ru/vacancy/121995072?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Тестировщик 1С /QA 1С;ООО МАГ Девелопмент;Не указана;https://tomsk.hh.ru/vacancy/122820444?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java - разработчик (Middle+);ООО Интрайс;от 150 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122190949?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (пл. Ленина,6);ОГКУ ЦЗН Томской области;50 000 – 120 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122032291?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик интеграций 1С;Алабуга. Управление цифровой трансформации;от 375 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/121545353?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С;ООО Межениновская птицефабрика;110 000 – 170 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122174657?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Frontend Developer (Vue/Angular) в офис в Томске;АО ТомскНИПИнефть;Не указана;https://tomsk.hh.ru/vacancy/122686066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1C;Добротека;Не указана;https://tomsk.hh.ru/vacancy/122743429?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в команду автоматизации;ООО МКК Корона;Не указана;https://tomsk.hh.ru/vacancy/121638523?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик-исследователь (R&D) (стажер);АО ИнфоТеКС;Не указана;https://tomsk.hh.ru/vacancy/122789927?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Аналитик 1С;ООО ТрансСервис;100 000 – 150 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122030422?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Администратор MES системы;Свинокомплекс Томский;94 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122509831?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С:ERP;ОАО Манотомь;50 000 – 60 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122029312?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП;АО ТГОК Ильменит;88 218 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/121920118?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист 1С;Алабуга. Управление цифровой трансформации;от 375 000 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/122132464?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист;АО Научно-производственная фирма Микран;Не указана;https://tomsk.hh.ru/vacancy/122146330?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер 1C;Bellerage;Не указана;https://tomsk.hh.ru/vacancy/120992604?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик (Symfony);ООО МКК Русинтерфинанс;от 160 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/121416671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++;ООО БУЛАТ;Не указана;https://tomsk.hh.ru/vacancy/122415683?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист СКС;Томская электронная компания , ООО НПП;от 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122702689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель группы / группа программного обеспечения;Газпром межрегионгаз;Не указана;https://tomsk.hh.ru/vacancy/122462585?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик радиолокационных устройств;ПАО НПО Стрела;от 114 900 ₽ за месяц, до вычета налогов;https://tomsk.hh.ru/vacancy/122254889?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C#/.NET разработчик;ООО Интрайс;60 000 – 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/122719963?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Backend Python (ML) + GO;Neo Stack Technology;50 000 – 100 000 ₽ за месяц, на руки;https://tomsk.hh.ru/vacancy/110338871?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
